,title,price,score,sold,store
26,"Оригинальный планшет Lenovo Pad 2022 Xiaoxin, Android 12, 10,6 дюйма, 2000*1200, 2K, 7700 мач, легкий","12 470,68",,181,Lenovo Business Official Store
27,"Lenovo Tab P11 / K11 смартфон с восьмиядерным процессором Snapdragon, ОЗУ 4 Гб, ПЗУ 64 Гб/128 ГБ, Android 10","13 489,35","4,9",5755,Lenovo Online Store
28,Headwolf HPAD2 Android 11 планшет 11 -дюймовый T618 8 ГБ оперативной памяти 256 ГБ ROM 4G LTE PLANT CLANK ПК 1200*2000 IPS Батарея 7680 мАч,"17 281,00",,,Headwolf Official Store
29,"Планшетофон с планшетом, планшетом 5 Pro, 12 Гб, 512 ГБ, 11-дюймовым ЖК-экраном, Android 10, Snapdragon 870, Wi-Fi, GPS, планшетом 2022","10 158,70","5,0",16,August Tablet Store Store
30,"Lenovo Tab P11 / K11 планшет с восьмиядерным процессором MTK, ОЗУ 4 Гб, ПЗУ 64 Гб/128 ГБ, Android 12 планшет планшет 10 дюймов lenovo tab p11 pro айпад планшет lenovo","10 509,00",,16,Lenovo Business Official Store
31,"Планшет ALLDOCUBE iPlay 40H на Android 11, восемь ядер, экран 10,4 дюйма, 8 ГБ + 2000 Гб","13 177,59",,,ALLDOCUBE Official Store
32,Совместим с Ipad 11 дюймов 15-дюймовый ноутбук совместимый с блокнотом вкладыш кобура с подставкой Защитная сумка для ПК и ноутбука,"1 055,80",,,HIPERDEAL Smarter Life Store
33,"Глобальная прошивка Xiaomi Mi Pad 5, планшет на Android, экран 11 дюймов, 120 Гц, 4 динамика, Google Play, Qualcomm 860 Dolby Vision, аккумулятор 8720 мАч","25 466,11","4,9",435,XIAOMI TookFun Tech Store
34,"Teclast P20HD планшет, экран 10,1 дюймов, Android 10, Восьмиядерный, 4 Гб ОЗУ 64 Гб ПЗУ","9 296,96","4,8",1801,Teclast Official Store
35,"Планшет с 10,1-дюймовым дисплеем, ОЗУ 8 Гб, ПЗУ 10,1 ГБ, 128 мАч, Android 5000","6 235,34","5,0",37,Fashion tablet Store
36,"Планшет с 10,1-дюймовым дисплеем, восьмиядерным процессором, ОЗУ 4 Гб, ПЗУ 64 ГБ, Android 9, 2-мя слотами для SIM-карт","6 139,36","4,8",509,"SHENZHEN BDF TOUCH TECHNOLOGY CO.,LTD."
37,"Планшет Lenovo Tab P11 Pro Xiaoxin Pad Pro, Восьмиядерный процессор Snapdragon 730, 6 ГБ ОЗУ, 128 Гб ПЗУ, экран 11,5 дюйма 2,5 K OLED, 8500 мАч, Android 10","18 561,70","4,9",2410,Lenovo Online Store
38,"Силиконовая Защитная крышка, цветная совместимая с крышкой, силиконовая ручка, поколение, подходит для 1 крышки, карандаш, совместим с","278,14",,,HIPERDEAL Smarter Life Store
39,"[Мировая премьера]Teclast M40 Air 10,1-дюймовый планшет P60 Octa Core 1920x1200 FHD 8 ГБ RAM 128 ГБ ROM Android 11 4G Network GPS Type-C","13 787,11","4,8",663,Teclast Official Store
40,"Планшет на Android 9,0, восемь ядер, экран 10,1 дюйма, 4 Гб + 64 ГБ","5 604,80","4,7",467,SHENZHEN BDF Tablet Store
41,"Новый Планшет Apple iPad 10,2, модель 2021 (64 ГБ, 256 ГБ, версия WLAN/чип A13/12 миллионов пикселей/iPad","28 934,78","5,0",37,Apple Friend Store
42,"Детский планшет, экран 7 дюймов, четырёхъядерный, 2 ГБ/16 ГБ","3 023,09","4,6",480,BDF BDF Tablet Global Store Store
43,"Lenovo Tab K11 P11 смартфон с 6-дюймовым дисплеем, восьмиядерным процессором Snapdragon, ОЗУ 4 Гб, ПЗУ 6 ГБ, 64 ГБ или 128 ГБ, Android 10","12 487,49","4,8",385,Lenovo Online Store
44,[Мировая премьера]Teclast T50 11-дюймовый планшет Android 11 2000x1200 8 ГБ RAM 128 ГБ ROM UNISOC T618 Octa Core 4G Network GPS Type-C,"23 352,40",,,Teclast Official Store
45,"Планшет BDF на Android 11, экран 10,1 дюйма, 4 Гб + 64 ГБ, Восьмиядерный процессор","7 818,70",,,BDF Official Store
46,"Планшет Xiaomi Pad 5, глобальная прошивка, 128 ГБ/256 Гб ПЗУ, процессор Snapdragon 860, экран 11 дюймов 2,5 K, планшет с камерой 13 МП, аккумулятор 8720 мАч, MiPad 5","32 227,60",,,70mai-Goldway Store
47,[Бесплатная доставка] Оригинальный планшет 5 Pro глобальная версия Android планшет 12 Гб + 512 Гб Snapdragon 865 планшет ПК телефон с двумя SIM-картами и Wi-Fi,"9 458,10","5,0",10,DONGPAD Official Store
48,BQ 7082G Планшет 85954703,"9 231,49",,,ATbook Store
49,"Графический планшет XP-Pen Artist 22 (2nd Generation) 21,5 Дюймов планшет для рисования Графика планшет Дисплей IPS монитор 8192 уровня ручка Давление USB-C","29 810,53","4,8",102,xp-pen Official Store
50,Глобальная прошивка Lenovo 306NC 306FC M10 LTE Xiaoxin Pad P11 K11 WIFI Восьмиядерный Snapdragon 4 / 6 ГБ ОЗУ ПЗУ планшет Android 10 11 дюймов,"8 967,68","5,0",13,Lenovo Business Official Store
51,"Lenovo M10 PLUS смартфон с 5,5-дюймовым дисплеем, ОЗУ 4 Гб, ПЗУ 64 ГБ, 4 Гб, 10,3 ГБ","14 291,54",,,Xiaomi-Panda-YC Store
52,"Планшет Xiaomi Mi Pad 5 Pro, 128 Гб/256 ГБ, процессор Snapdragon 870, планшеты 5 Pro, экран 11 дюймов 2,5 K, аккумулятор 8600 мАч, зарядка 67 Вт","47 547,62",,,Hong Kong Goldway
53,"Планшет на Android 10,0, 10,1 дюйма, 10 ядер, 8 + 128 ГБ, 4G, Bluetooth, Wi-Fi","6 163,88","5,0",49,Fashion tablet Store
54,"[Мировая премьера] Планшет Teclast P30 Air 10,1 дюйма 1920x1200 IPS Android 12 4 ГБ ОЗУ 64 ГБ ПЗУ MT6762 Octa Core 4G Network GPS","15 284,29",,,Teclast Official Store
55,"Teclast M40 планшет, экран 10,1 дюймов, Android 10, 6 ГБ ОЗУ 1920 Гб ПЗУ, Восьмиядерный","10 317,04","4,8",734,Teclast Official Store
56,"Планшет с 10,1-дюймовым дисплеем, восьмиядерным процессором, ОЗУ 8 Гб, ПЗУ 2022 ГБ, Android 10,1, GPS, 4G","6 135,15",,,Fashion tablet Store
57,"Материнская плата для Asus ME371MG (K004), 1G/Z2420/3G/16GB, 90NK0041-R000B0","926,00","5,0",2,TFL-shop Store
58,"Оригинальный планшет Honor V6, 10,4 дюйма, ПК, Восьмиядерный процессор Kirin 985, IPS, 6 ГБ ОЗУ, 128 Гб ПЗУ HONOR V7 Mediapad, Magic UI 3,1, 2K экран, Wi-Fi","26 924,06","5,0",14,honor Authorization Store
59,"Планшет с 8-дюймовым дисплеем, процессором MTK6797, 8800 мАч, ОЗУ 6 ГБ, ПЗУ 128 ГБ, Android 10","5 674,86","5,0",19,August Tablet Store Store
60,"Оригинальный планшет Honor V6, 10,4 дюйма, ПК, Восьмиядерный процессор Kirin 985, IPS, 6 ГБ ОЗУ, 128 Гб ПЗУ HONOR V7 Mediapad, Magic UI 3,1, 2K экран, Wi-Fi","26 924,06","5,0",14,honor Authorization Store
61,"ALLDOCUBE KNote Go планшет, экран 11,6 дюймов, 4 Гб ОЗУ 64 Гб ПЗУ","7 005,30",,,ALLDOCUBE Digital Store
62,"Teclast T40 Pro планшет, экран 10,4 дюймов, 8 Гб ОЗУ 128 Гб ПЗУ, Восьмиядерный","13 817,23","4,8",1563,Teclast Official Store
63,"Планшетов Xiaomi Mi Pad 5, 128 ГБ/256 ГБ, Snapdragon 860, 11 дюймов, WQHD + дисплей 120 Гц, 4 стереодинамика, 8720 мАч, Mi Tablet 5","43 562,61",,,Hong Kong Goldway
64,"Планшет 5 Pro, планшеты 11 дюймов, HD, ЖК-экран, 12 Гб ОЗУ, 512 Гб ПЗУ, планшет Android 10,0, планшетный ПК Snapdragon 870, 5GWIFI, две Sim-карты","11 364,43","5,0",40,BAE Globa Store
65,"Планшет Lenovo Tab P11 Pro Xiaoxin Pad Pro, Восьмиядерный процессор Snapdragon 730, 6 ГБ ОЗУ, 128 Гб ПЗУ, экран 11,5 дюйма 2,5 K OLED, 8500 мАч, Android 10","28 515,82",,,Lenovo Online Store
66,"2022 новый 10,1 дюймовый 8G + 128GB студенческий планшетный ПК, бизнес-Планшет Android 10,0 Bluetooth 4,0 шаблон 4G интернет Wi-Fi планшет","6 095,22","5,0",39,Fashion tablet Store
67,"[Мировая премьера] Teclast M40 Pro 10,1-дюймовый планшет 1920x1200 6 ГБ ОЗУ 128 ГБ ПЗУ UNISOC T618 Octa Core Android 11 Сеть 4G Двойной Wi-Fi","12 319,35","4,8",2057,Teclast Official Store
68,"Плата micro USB / audio для Asus Nexus 7 (ME370T), 08301-00660300","410,00","5,0",4,TFL-shop Store
69,"[Мировая премьера]Teclast M40 Air 10,1-дюймовый планшет P60 Octa Core 1920x1200 FHD 8 ГБ RAM 128 ГБ ROM Android 11 4G Network GPS Type-C","13 787,11","4,8",663,Teclast Official Store
70,"Планшет с 10-дюймовым дисплеем, десятиядерным процессором, ОЗУ 6 ГБ, ПЗУ 2021 ГБ, 128x1920, 1200 мАч","21 787,96","5,0",2,Bach Melody
71,"Планшет Alldocube M5, Android 8, 4 + 64 ГБ, 10,1 дюйма, 2560*1600","6 935,94",,,ALLDOCUBE Digital Store
72,"ALLDOCUBE kPad планшет пк,Uniso T610 Android 11, 2000*1200 IPS технология полного прилегания высокочистый экран, 10.4 дюймов, 4 Гб + 64 ГБ, 4G LTE позвонить,  смотреть вид...","9 667,58","4,9",270,ALLDOCUBE Digital Store
73,"2022 новый обновленный 10,1 дюймовый ноутбук Android ноутбук четырехъядерный 1 ГБ/8 ГБ Android 6,0 Мини компьютер Wi-Fi нетбук Bluetooth планшетный ПК","6 336,93",,,BDF BDF Tablet Global Store Store
74,"Оригинальный планшет 2022 дюйма, 512 ГБ, Snapdragon 865, HD 4K экран, Android 11, модные планшеты, ПК, телефон с двумя Sim-картами или Wi-Fi, GPS","12 089,55","5,0",52,5G Global Store
75,"Мини-планшет, Android 128, 6 ГБ ОЗУ Гб ПЗУ, 24 + 48 Мп","9 808,40",,,Global Smart Tablet Online Store
76,"10,1-дюймовый полноэкранный планшет P10, 10,1 ГБ, Qualcomm 128, 10 ядер, 6797 мАч, Google Play, офисный ноутбук с Wi-Fi, Android 12 ПК","9 331,99",,,Global Smart Tablet Online Store
77,"Горячая Распродажа ПК H18 8800 мАч 10,1 дюймов десятиядерный Android 8,1 128 Гб ПЗУ две SIM-карты офис Google Play GPS планшетофон","6 641,69",,,Global Smart Tablet Online Store
78,"Blackview телефон с 6-дюймовым дисплеем, ОЗУ 3 ГБ, ПЗУ 32 ГБ, Android 11, 5580 мАч","7 674,37",,1,Global Smart Tablet Online Store
79,"Новинка, Оригинальный планшет, 512 ГБ, Snapdragon 865, HD, 4K, Android, планшеты, ПК, двойная Sim-карта или Wi-Fi, планшет Mi","12 089,55","5,0",52,Global electronic millet Store
80,"Планшет с 10,1-дюймовым дисплеем, десятиядерным процессором MTK6797, ОЗУ 8 Гб, ПЗУ 10,1 ГБ, Android 12, GPS, двумя слотами для SIM-карт, 24 МП, 48 МП, 128 мАч","9 493,13",,,FAUST Global Online Store
81,"Планшетный ПК X12 Android 12 Google Play 8000 мАч 10,1 дюймов WIFI MTK 6797 GPS 8G 128G две SIM-карты 24 МП 48 МП Deca Core ноутбук","9 493,13",,,FAUST Global Online Store
82,"Мини-планшет M12 на Android 12, 7,85 дюйма, OTG, 6 + 128 ГБ, две SIM-карты","5 863,32",,,LUKAS Global Store
83,"Планшет Ma11, телефон с 10,1-дюймовым дисплеем, десятиядерным процессором, ОЗУ 8 Гб, ПЗУ 128 ГБ, Android 12, GPS, 8000 мАч, 24 МП, 48 МП","9 368,42",,,FAUST Global Online Store
84,"Планшет с 8-дюймовым дисплеем, процессором MTK6797, 8800 мАч, ОЗУ 6 ГБ, ПЗУ 128 ГБ, Android 10","5 674,86","5,0",19,August Tablet Store Store
85,"Планшет Android 11 P70, 10,1 дюйма, 128 Гб ПЗУ, MTK 9863 SIM, мини-ПК, 8000 мАч, Google WiFi, офисный GPS, 4G","9 502,24",,2,Tablet PC Global Version Store
86,"Планшет K20, 8800 мАч, 6 ГБ ОЗУ, 128 Гб ПЗУ, 8 дюймов","6 376,86",,,LUKAS Global Store
87,"Дешевый ноутбук X5 Tablet Android 12, 10-ядерный ноутбук 8,1 дюйма, 128 ГБ ROM, Google Play, SIM, 4G/телефон 8000 мАч, GPS, WPS, компьютер","6 011,15",,4,Tablet PC Global Version Store
88,"Планшет игровой, 10 дюймов, 8 ГБ, 128 ГБ, Android 10 WPS","10 954,58",,,LUKAS Global Store
89,"[Бесплатная доставка] Новый HD 4K экран 11,6 дюймов планшет Android 11 Mi Pro 5G Wifi Две SIM-карты Snapdragon 845 Планшетные ПК с клавиатурой","9 528,16","5,0",10,Global electronic millet Store
90,"Лидер продаж, планшет Android 12, 8-дюймовый ПК H960, 24 + 48 Мп, 6 ГБ, 128 ГБ, Google Play, десятиядерный, 8600 мАч, Wi-Fi, планшетов, ноутбуков","5 623,72",,4,LUKAS Global Store
91,11 дюймовый планшетный ПК Android 10 Pad 5 Snapdragon 865 3G/4G WIFI 6 ГБ 128 ГБ дешевый ноутбук Google Play WPS офисный планшет,"7 188,16",,9,Tablet PC Global Version Store
92,"Gobal Version планшет P40, экран 10,1 дюйма, 8600 мАч, Android 512, ГБ, две Sim-карты","10 998,72","5,0",17,Tablet PC Global Version Store
93,"8-дюймовый планшет A7, Android 10, GPS, планшетофон, 6 ГБ, 128 ГБ, 16 + 32 МП, камера, две SIM-карты, версия Google Play, планшетный ПК, WPS Office","6 032,17","4,9",23,FAUST Global Online Store
94,"[Мировая премьера] Планшет Teclast P30 Air 10,1 дюйма 1920x1200 IPS Android 12 4 ГБ ОЗУ 64 ГБ ПЗУ MT6762 Octa Core 4G Network GPS","15 284,29",,,Teclast Official Store
95,"Планшет Lenovo Tab P11 Pro Xiaoxin Pad Pro, Восьмиядерный процессор Snapdragon 730, 6 ГБ ОЗУ, 128 Гб ПЗУ, экран 11,5 дюйма 2,5 K OLED, 8500 мАч, Android 10","26 517,01",,,Lenovo Online Store
96,"Lenovo Xiaoxin Pad Plus планшет с восьмиядерным процессором Snapdragon 750G, ОЗУ 6 ГБ, ПЗУ 128 ГБ, 11 дюймов, Android 11","24 474,06",,,Lenovo Online Store
97,"Планшет на Android 128, 8 + 2022 ГБ, 10,1 дюйма, 4G, Wi-Fi","6 179,29",,,Fashion tablet Store
98,"Teclast P80 планшет на Android 10, четыре ядра, экран 8 дюймов, 2 ГБ + 32 ГБ","5 604,10","4,6",260,Teclast Official Store
99,HD 4k Xiaomi экран Android 11 Snapdragon 845 12 дюймов компьютер планшетный ПК 5G/4G 4K 12 ГБ 512 ГБ 10 ядер с клавиатурой мышью,"12 330,56","3,7",11,TRENDY TABLET Store
100,Global ROM Lenovo Tab P11 K11 или Xiaoxin Pad 11-дюймовый ЖК-экран 2K Планшет Android 4 ГБ 64 ГБ Snapdragon 662 7700 мАч Widevine L1,"12 577,17","4,9",632,Lenovo Official Store
101,"Планшет DONGPAD Original Pad 5 Pro, Android, Snapdragon 865, планшет, ПК, двойная SIM-карта, Google Play, GPS, Wi-Fi","10 438,94","5,0",42,DONGPAD Official Store
102,"Планшет на Android 2022, восемь ядер, экран 10 дюймов, 8 ГБ + 128 ГБ","6 135,15",,,Fashion tablet Store
103,"Teclast T40 Plus планшет на Android 11, восемь ядер, экран 10,4 дюйма, 8 ГБ + 2000 Гб","12 456,67","4,8",148,Teclast Official Store
104,"10-дюймовые Детские планшеты Cwowdefu, Android 10, Четырехъядерные, 2 Гб, 32 ГБ, Wi-Fi 6, 5000 мАч, Обучающие планшеты для детей, малышей с приложением для дете...","7 476,10",,1,CWOWDEFU Official Store
105,"Планшеты Xiaomi Mi Pad 5, 128 ГБ/256 Гб ПЗУ, процессор Snapdragon 860, экран 5 дюймов 2,5 K, планшет с камерой 13 МП, аккумулятор 8720 мАч, MiPad 5","23 750,34","4,8",2176,Hong Kong Goldway
106,Планшет Blackview Tab 7 3 ГБ ОЗУ 32 ГБ ПЗУ Android 11 Планшеты 6580 мАч 4G WIFI LTE 1280X800 Kindle Ebook,"13 310,70",,,BLACKVIEW Factory Store
107,"Планшетный ПК 8G + 128 Гб Wi-Fi планшет 4G сетевой планшет Android 10.0 Φ 10,1 дюймов 4G WiFi 1280X80 0 IPS детские подарки планшеты 10","6 053,18","4,8",122,Gifts Tablet Pc Store
108,"Ноутбук BDF, 10,1 дюйма, Android, Bluetooth, WiFi, четырехъядерный ноутбук, 1,5 ГГц, 1 Гб + 8 Гб, Android 6,0, мини-нетбук, планшетный ПК","6 336,93",,,BDF BDF Tablet Global Store Store
109,"Новинка 2022, телефон, планшет Android 11,0 Pad 5 Pro, 12 Гб + 512 ГБ, Snapdragon 845, планшеты, ПК, телефон с двумя SIM-картами или Wi-Fi, HD, 4K, Mi","10 999,42","4,5",50,TRENDY TABLET Store
110,"Lenovo Tab P11 Pro планшет на Android 11, восемь ядер, экран 2021 дюйма, 6 ГБ + 870 ГБ","40 002,16",,,Lenovo Online Store
111,"Blackview Tab 12 планшет Pad 10,1 ""Дисплей android 11 4 Гб RAM 64 Гб ROM 6580 мАч Аккумулятор ультратонкий портативный двойной Wi-Fi Планшетный ПК","14 011,30",,,BLACKVIEW - Authorizing Store
112,"Фонарь TCL TAB 8L MTK8766B 8-ядерный Android 10,0 WIFI планшеты 2 ГБ 32 ГБ тонсветильник 8,0 ''HD дисплей 4080 мАч 5MP камера","4 095,71","4,8",95,TCL Tab Online Store
113,Планшетный ПК X911 для обучения Android стандарт ЕС многофункциональные креативные портативные умные персональные планшеты 9 дюймов,"3 615,10",,,Jun 3C Accessories Store
114,"Планшет Original Pad 5 Pro на android, 11 дюймов, HD 2,5 K, 12 Гб, 512 ГБ","9 082,58","4,8",199,Global android tablet Store
115,"Teclast M40 планшет на Android 10,1, восемь ядер, экран 1920 дюйма, 6 ГБ + 1200 ГБ","10 704,47","4,9",542,Teclast Global Store
116,"Andoid планшет с 10,1-дюймовым дисплеем, восьмиядерным процессором, ОЗУ 8 Гб, ПЗУ 2022 ГБ, 2-мя слотами для Sim-карт","6 196,81",,,Gifts Tablet Pc Store
117,"Планшет на Android 10,1, восемь ядер, экран 10,0 дюйма, 3G/4G/LTE","7 321,27",,,KIVBWY Store
118,"Lenovo Tab V7 планшет с 7-дюймовым дисплеем, восьмиядерным процессором, ОЗУ 4 Гб, ПЗУ 64 ГБ, Android","9 454,60","4,4",28,Lenovo Online Store
119,"Графический планшет XP-Pen Artist 22 (2nd Generation) 21,5 Дюймов планшет для рисования Графика планшет Дисплей IPS монитор 8192 уровня ручка Давление USB-C","29 810,53","4,8",102,xp-pen Official Store
120,"Планшет Lenovo Tab P11, глобальная прошивка, 128 Гб 64 ГБ, экран 11 дюймов, Восьмиядерный процессор Snapdragon 662, 7700 мАч, Wi-Fi","18 845,44","4,9",1290,70mai-Goldway Store
121,"Планшет на Android 10.0, 2022, восемь ядер, экран 10,1 дюйма, 4 Гб + 64 ГБ","7 804,68","4,7",1082,"SHENZHEN BDF TOUCH TECHNOLOGY CO.,LTD."
122,Мировая премьера ALLDOCUBE kPad 10.4-дюймовый планшетный ПК Android 11 Unisoc T610 2K экран 4GB RAM 64GB ROM 4G LTE телефонный планшет,"9 667,58","4,9",776,ALLDOCUBE Official Store
123,"Глобальная прошивка XIAOMI Mi Pad 5 6 ГБ + 128 ГБ WQHD 120 Гц, планшет на базе Android с экраном 11 дюймов, 4 стереодинамика, аккумулятор 8720 мАч, Google Play","25 466,11",,,XIAOMI TookFun Tech Store
124,Lenovo Xiaoxin Pad 11 inch WiFi Tablet Qualcomm Snapdragon 662 CPU Memory 2K Full Screen 7700mAh Large Capacity Battery,"12 259,80",,2,iTechnology Life
125,"Планшет на Android 10,0, восемь ядер, экран 10,1 дюйма, 8 ГБ + 128 ГБ","6 137,26",,,Fashion tablet Store
126,"Планшет Alldocube iplay40 H /iPlay 40 Pro, Android 11, 8 + 128/256 ГБ, 10,4 дюйма, 2K","13 310,70","4,8",392,ALLDOCUBE Direct Store
127,"10,1-дюймовый планшет Android 2022, 8 ГБ + 10,1 ГБ, 4G","6 053,18","5,0",126,Gifts Tablet Pc Store
128,"Планшет Jumper EZpad M10 на Android 11, восемь ядер, экран 10,1 дюйма, 4 Гб + 128 ГБ","16 201,38",,,Shop2216020 Store
129,"Lenovo планшет P11/K11, телефон с экраном IPS 11 дюймов, 4 Гб 64 Гб 6 ГБ 128 ГБ","12 610,10","4,8",291,Lenovo Pro Business Store
130,"Новинка 7-дюймовые планшеты четырехъядерный Android 7,0 Google Play 2 ГБ/16 Гб WiFi Bluetooth дешевый и простой любимый подарок для детей планшетный ПК","3 605,99",,1,SHENZHEN BDF Tablet Store
131,"Планшет на Android 10,1, восемь ядер, экран 9,0 дюйма, 4 Гб + 64 ГБ","5 649,64",,,BDF BDF Tablet Global Store Store
132,"Blackview Tab 13 планшет с восьмиядерным процессором MTK Helio G85, ОЗУ 6 ГБ, ПЗУ 128 ГБ, 7280 мАч, 13 МП","27 603,64",,4,BLACKVIEW Global Store
133,"10-дюймовый классический взрывобезопасный планшетный ПК с точками и вызовами через границу, Wi-Fi, Bluetooth, GPS, 4G, Обучающий игровой планшет с емко...","6 280,18",,,delicate tablet store Store
134,"Оригинальный планшет HD Xiaomi с экраном, Snapdragon 845, Android 11,0, 12 Гб ОЗУ, 512 Гб ПЗУ, планшет, телефон с двумя SIM-картами или Wi-Fi","11 139,54","4,3",168,MORE CASE for Store
135,"Детский планшет Blackview Tab 6, 8 дюймов, 3 ГБ 32 ГБ, Android 11, четырехъядерный процессор, с приложением для детей, 5580 мАч, Wi-Fi, 4G","8 406,50","4,8",105,BLACKVIEW Official Store
136,Планшет Teclast P80 8 дюймов IPS 1280x800 Android 11. Планшет 0 OS Allwinner A133 CPU GE8300 GPU 2 Гб RAM 32 Гб ROM Dual Wifi Type-C,"5 582,38","4,8",270,Teclast Global Store
137,"【Мировая премьера】Blackview Tab 11 Tablet Pad 8 ГБ + 128 ГБ 10,36-дюймовый дисплей 2K Octa Core Android 11 Widevine L1 6580 мАч 460 г В наличии планшет","13 500,56","4,7",449,BLACKVIEW Global Store
